Target Recipe,Search Query,Selected File,Commons URL,License,Creator,Dimensions,Download Status
Chicken Fried Rice,Chicken Fried Rice,File:Chicken fried rice - Stir Fry by CK 2023-12-02.jpg,https://commons.wikimedia.org/wiki/File:Chicken_fried_rice_-_Stir_Fry_by_CK_2023-12-02.jpg,CC0,Andy Li,4032x3024,SUCCESS
Masala Dosa,Masala Dosa,File:Masala Dosa 02.jpg,https://commons.wikimedia.org/wiki/File:Masala_Dosa_02.jpg,CC BY-SA 4.0,Saisumanth532,3480x4640,SUCCESS
Plain Dosa,Plain Dosa,File:Dosa (Plain).jpg,https://commons.wikimedia.org/wiki/File:Dosa_(Plain).jpg,CC BY-SA 4.0,Vivekdoshi11,5184x2161,SUCCESS
Idli,Idli Sambar,File:Idli Sambar Chutney in Madras.JPG,https://commons.wikimedia.org/wiki/File:Idli_Sambar_Chutney_in_Madras.JPG,CC BY-SA 3.0,Ask27,2048x1536,SUCCESS
Medu Vada,Medu Vada,File:Aesthetic Medu Vadai.jpg,https://commons.wikimedia.org/wiki/File:Aesthetic_Medu_Vadai.jpg,CC BY-SA 4.0,Thamizhpparithi Maari,4208x2368,SUCCESS
Poha,Kanda Poha,File:Kanda Poha-Diu-DSC003.jpg,https://commons.wikimedia.org/wiki/File:Kanda_Poha-Diu-DSC003.jpg,CC BY-SA 4.0,Mahi Gajwani,1079x1350,SUCCESS
Upma,Rava Upma,File:A photo of Upma.jpg,https://commons.wikimedia.org/wiki/File:A_photo_of_Upma.jpg,CC BY-SA 4.0,Thamizhpparithi Maari,4208x2368,SUCCESS
Aloo Paratha,Aloo Paratha,"File:""Amazing Aloo Paratha and Lovely Lassi"".jpg",https://commons.wikimedia.org/wiki/File:%22Amazing_Aloo_Paratha_and_Lovely_Lassi%22.jpg,CC BY-SA 4.0,Mahi Tatavarty,3715x3024,SUCCESS
Paneer Paratha,Paneer Paratha,File:Awadhi palak paneer paratha dahi.jpg,https://commons.wikimedia.org/wiki/File:Awadhi_palak_paneer_paratha_dahi.jpg,CC BY 2.0,rovingl,640x480,SUCCESS
Gobi Paratha,Gobi Paratha,File:Aloo gobi paratha - Massachusetts.jpg,https://commons.wikimedia.org/wiki/File:Aloo_gobi_paratha_-_Massachusetts.jpg,CC0,Daderot,2897x2897,SUCCESS
Poori Bhaji,Poori Bhaji,File:Aalu Poori.JPG,https://commons.wikimedia.org/wiki/File:Aalu_Poori.JPG,CC BY-SA 4.0,Er.vishalmehta83,5184x3456,SUCCESS
Chole Bhature,Chole Bhature,File:Bikaner chole bhature.jpg,https://commons.wikimedia.org/wiki/File:Bikaner_chole_bhature.jpg,CC BY-SA 4.0,Aleemk72,4608x3456,SUCCESS
Besan Chilla,Besan Chilla,File:Besan Chilla Pizza.jpg,https://commons.wikimedia.org/wiki/File:Besan_Chilla_Pizza.jpg,CC BY-SA 4.0,Ruchika More,4096x2304,SUCCESS
Uttapam,Uttapam,File:Back side of Mix lentils Uttapam P 20190410 144927.jpg,https://commons.wikimedia.org/wiki/File:Back_side_of_Mix_lentils_Uttapam_P_20190410_144927.jpg,CC BY-SA 4.0,Sumita Roy Dutta,4096x2304,SUCCESS
Egg Omelette,Indian Masala Omelette,File:FreshFarm Omlette with Parathas.jpg,https://commons.wikimedia.org/wiki/File:FreshFarm_Omlette_with_Parathas.jpg,CC BY-SA 4.0,Sar8b,3264x1836,SUCCESS
Egg Half Fry,Egg Half Fry,"File:Delicious egg half fry ,Kolkata - West Bengal - DSC 0022.jpg","https://commons.wikimedia.org/wiki/File:Delicious_egg_half_fry_,Kolkata_-_West_Bengal_-_DSC_0022.jpg",CC BY-SA 4.0,TAPAS KUMAR HALDER,6000x4000,SUCCESS
Samosa,Indian Samosa,File:Aloo matar with samosa and green chili pickle - Massachusetts.jpg,https://commons.wikimedia.org/wiki/File:Aloo_matar_with_samosa_and_green_chili_pickle_-_Massachusetts.jpg,CC0,Daderot,2782x2782,SUCCESS
Pakora,Pakora,File:Chicken pakora-MB21.jpg,https://commons.wikimedia.org/wiki/File:Chicken_pakora-MB21.jpg,CC BY-SA 4.0,Rajeeb Dutta,4031x3023,SUCCESS
Aloo Tikki,Aloo Tikki,File:Aloo Ki Tikki 02.jpg,https://commons.wikimedia.org/wiki/File:Aloo_Ki_Tikki_02.jpg,CC BY-SA 4.0,MyFoodSpa,720x640,SUCCESS
Pav Bhaji,Pav Bhaji,File:Bhaji pav 2.jpg,https://commons.wikimedia.org/wiki/File:Bhaji_pav_2.jpg,CC BY-SA 4.0,BHAAGIi,3069x4096,SUCCESS
Vada Pav,Vada Pav,File:Aran Vada Pav Mumbai.jpg,https://commons.wikimedia.org/wiki/File:Aran_Vada_Pav_Mumbai.jpg,CC BY-SA 4.0,Jpatokal,3024x4032,SUCCESS
Pani Puri,Pani Puri,File:Crispy Pani Puri.jpg,https://commons.wikimedia.org/wiki/File:Crispy_Pani_Puri.jpg,CC BY-SA 4.0,Teena Sometimes,2592x1944,SUCCESS
Bhel Puri,Bhel Puri,File:BHEL PURI HOMEMADE KOTA 032.jpg,https://commons.wikimedia.org/wiki/File:BHEL_PURI_HOMEMADE_KOTA_032.jpg,CC BY-SA 4.0,Manoj2095,4640x2140,SUCCESS
Dahi Puri,Dahi Puri,File:Dahi-Puri..JPG,https://commons.wikimedia.org/wiki/File:Dahi-Puri..JPG,CC BY-SA 3.0,Aditya thaokar,1024x768,SUCCESS
Kachori,Kachori,File:Kachori-sabzi.jpg,https://commons.wikimedia.org/wiki/File:Kachori-sabzi.jpg,CC BY-SA 4.0,Priyanka nawalramka,913x713,SUCCESS
Dhokla,Khaman Dhokla,File:Gujarati Dhokla (Khaman Dhokla).jpg,https://commons.wikimedia.org/wiki/File:Gujarati_Dhokla_(Khaman_Dhokla).jpg,CC BY-SA 4.0,Bhavana Homecook,960x540,SUCCESS
Spring Roll,Veg Spring Roll,File:Indian food at its BEST.jpg,https://commons.wikimedia.org/wiki/File:Indian_food_at_its_BEST.jpg,CC BY-SA 4.0,Spandan07,960x1280,SUCCESS
Bread Pakora,Bread Pakora,File:Bread Pakoda 1.jpg,https://commons.wikimedia.org/wiki/File:Bread_Pakoda_1.jpg,CC BY-SA 4.0,Prateek Pattanaik,2815x2325,SUCCESS
Cutlet,Veg Cutlet Indian,File:Breakfast in Indian Railways.jpg,https://commons.wikimedia.org/wiki/File:Breakfast_in_Indian_Railways.jpg,CC BY-SA 4.0,Ravi Dwivedi,4000x3000,SUCCESS
Naan,Naan Bread,"File:Naan Bakery, Iran, Qajar era (circa 1850).jpg","https://commons.wikimedia.org/wiki/File:Naan_Bakery,_Iran,_Qajar_era_(circa_1850).jpg",Public domain,Unknown authorUnknown author,1200x872,SUCCESS
Butter Naan,Butter Naan,File:Butter Naan 2.jpg,https://commons.wikimedia.org/wiki/File:Butter_Naan_2.jpg,CC BY-SA 4.0,Ganesh Mohan T,3000x3000,SUCCESS
Roti,Roti Chapati,File:0118 Chapati backen.jpg,https://commons.wikimedia.org/wiki/File:0118_Chapati_backen.jpg,CC BY-SA 4.0,Baba Tabita,1632x1232,SUCCESS
Tandoori Roti,Tandoori Roti,File:Butter-tandoori-roti.jpg,https://commons.wikimedia.org/wiki/File:Butter-tandoori-roti.jpg,CC BY-SA 4.0,Ravi Dwivedi,4000x3000,SUCCESS
Garlic Naan,Garlic Naan,File:Adraki Naan (Garlic Naan).JPG,https://commons.wikimedia.org/wiki/File:Adraki_Naan_(Garlic_Naan).JPG,CC BY-SA 4.0,HARIOM.AWASTHI,3000x4000,SUCCESS
Bhatura,Bhatura,File:Battura.jpg,https://commons.wikimedia.org/wiki/File:Battura.jpg,CC BY-SA 4.0,Adilakv,3472x3472,SUCCESS
Paratha,Paratha Indian,File:Common Indian Paratha and Sabzi.JPG,https://commons.wikimedia.org/wiki/File:Common_Indian_Paratha_and_Sabzi.JPG,CC BY-SA 4.0,Nirmal Deb,5472x3648,SUCCESS
Gulab Jamun,Gulab Jamun,File:Diwali greetings shot with Gulab Jamun and Milk Cake.jpg,https://commons.wikimedia.org/wiki/File:Diwali_greetings_shot_with_Gulab_Jamun_and_Milk_Cake.jpg,CC BY-SA 4.0,Sayantan Sarkar,6048x4024,SUCCESS
Jalebi,Jalebi Indian Sweet,"File:Authentic jalebi ,desi sweet india.jpg","https://commons.wikimedia.org/wiki/File:Authentic_jalebi_,desi_sweet_india.jpg",CC BY-SA 4.0,Shail devi,816x816,SUCCESS
Rasgulla,Rasgulla,File:Rasgulla.jpg,https://commons.wikimedia.org/wiki/File:Rasgulla.jpg,CC BY-SA 4.0,HrichikHv,2828x2294,SUCCESS
Rasmalai,Rasmalai,File:Mela Rasmalai (4688397958).jpg,https://commons.wikimedia.org/wiki/File:Mela_Rasmalai_(4688397958).jpg,CC BY 2.0,snowpea&amp;bokchoi,2256x1496,SUCCESS
Kheer,Rice Kheer,File:CHAPATI & KHEER (RICE KHEER).JPG,https://commons.wikimedia.org/wiki/File:CHAPATI_%26_KHEER_(RICE_KHEER).JPG,CC BY-SA 4.0,Kaman7580,1024x768,SUCCESS
Gajar Halwa,Gajar Halwa,File:Carrot gajar halwa with kheer India Sweets.jpg,https://commons.wikimedia.org/wiki/File:Carrot_gajar_halwa_with_kheer_India_Sweets.jpg,CC BY 2.0,Jing,3456x2304,SUCCESS
Kulfi,Kulfi Ice Cream,File:A kulfi ice cream in a pot.jpg,https://commons.wikimedia.org/wiki/File:A_kulfi_ice_cream_in_a_pot.jpg,CC BY-SA 3.0,Parvathisri,2576x1936,SUCCESS
Barfi,Barfi Indian Sweet,File:Avalakki burfi.jpg,https://commons.wikimedia.org/wiki/File:Avalakki_burfi.jpg,CC BY-SA 4.0,Newuse86,960x1280,SUCCESS
Ladoo,Motichoor Ladoo,File:Mothichoor Ladoo-Mangalore-Karnataka-DSC001.jpg,https://commons.wikimedia.org/wiki/File:Mothichoor_Ladoo-Mangalore-Karnataka-DSC001.jpg,CC BY-SA 4.0,Yakshitha,1465x1536,SUCCESS
Shahi Tukda,Shahi Tukda,File:Fried Bread Pieces For Shahi Tukray (Shahi Tukda).JPG,https://commons.wikimedia.org/wiki/File:Fried_Bread_Pieces_For_Shahi_Tukray_(Shahi_Tukda).JPG,CC0,Miansari66,2816x2112,SUCCESS
Mango Lassi,Mango Lassi,File:2008 07 05 - Washington DC - Folklife Festival - Mango Lassi (3172498761).jpg,https://commons.wikimedia.org/wiki/File:2008_07_05_-_Washington_DC_-_Folklife_Festival_-_Mango_Lassi_(3172498761).jpg,CC BY-SA 2.0,"thisisbossi from Washington, DC, USA",3000x4000,SUCCESS
Sweet Lassi,Sweet Lassi,File:Lassi(sweet).JPG,https://commons.wikimedia.org/wiki/File:Lassi(sweet).JPG,CC BY-SA 4.0,Hartej.hundal,2592x1944,SUCCESS
Masala Chai,Masala Chai,File:Chai Latte - T @ The Dials 2024-02-26.jpg,https://commons.wikimedia.org/wiki/File:Chai_Latte_-_T_@_The_Dials_2024-02-26.jpg,CC0,Andy Li,4032x3024,SUCCESS
Cold Coffee,Cold Coffee Glass,File:Chameleon Cold Brew Organic Vanilla Coffee - Glass Bottle (52953262064).jpg,https://commons.wikimedia.org/wiki/File:Chameleon_Cold_Brew_Organic_Vanilla_Coffee_-_Glass_Bottle_(52953262064).jpg,CC BY 2.0,Tony Webster,4032x3024,SUCCESS
Mango Shake,Mango Milkshake,File:Chili-mango milkshake - Sparkys - Hatch New Mexico.jpg,https://commons.wikimedia.org/wiki/File:Chili-mango_milkshake_-_Sparkys_-_Hatch_New_Mexico.jpg,CC BY-SA 2.0,"Samat Jain from New York City, USA",3168x3168,SUCCESS
Pasta,Pasta Dish Plated,File:Meaty Lasagna 8of8 (8736299782).jpg,https://commons.wikimedia.org/wiki/File:Meaty_Lasagna_8of8_(8736299782).jpg,CC BY 2.0,Breville USA,1024x658,SUCCESS
Pizza,Pizza Dish Plated,File:Chicago Deep Dish (3850674567).jpg,https://commons.wikimedia.org/wiki/File:Chicago_Deep_Dish_(3850674567).jpg,CC BY-SA 2.0,"Mack Male from Edmonton, AB, Canada",3264x2448,SUCCESS
Burger,Burger Plated,File:Equality March 2022 in Kraków - Platforma Obywatelska.jpg,https://commons.wikimedia.org/wiki/File:Equality_March_2022_in_Krak%C3%B3w_-_Platforma_Obywatelska.jpg,CC BY-SA 4.0,Tomasz Molina,4032x3016,SUCCESS
Sandwich,Grilled Sandwich Food,File:Grilled Aubergine and Pesto Sandwich03.jpg,https://commons.wikimedia.org/wiki/File:Grilled_Aubergine_and_Pesto_Sandwich03.jpg,CC BY-SA 4.0,Homemade-Flavours,852x640,SUCCESS
Pancakes,Pancakes Syrup Plated,File:Eating Pancakes (Unsplash).jpg,https://commons.wikimedia.org/wiki/File:Eating_Pancakes_(Unsplash).jpg,CC0,Gabriel Gurrola gabrielgurrola,5760x3840,SUCCESS
French Toast,French Toast Plated,File:Amtrak Signature Railroad French Toast and Orange Juice - 2021-11-15 - Sarah Stierch 01.jpg,https://commons.wikimedia.org/wiki/File:Amtrak_Signature_Railroad_French_Toast_and_Orange_Juice_-_2021-11-15_-_Sarah_Stierch_01.jpg,CC BY 4.0,Missvain,4032x3024,SUCCESS
Avocado Toast,Avocado Toast Plated,"File:Avocado Toast, Mérida, Yucatán.jpg","https://commons.wikimedia.org/wiki/File:Avocado_Toast,_M%C3%A9rida,_Yucat%C3%A1n.jpg",CC BY 2.0,edenpictures,2268x4032,SUCCESS
Caesar Salad,Caesar Salad Plated,File:Caesar's salad at Caesar's restaurant 2018.jpg,https://commons.wikimedia.org/wiki/File:Caesar%27s_salad_at_Caesar%27s_restaurant_2018.jpg,CC BY-SA 4.0,Keizers,3024x4032,SUCCESS
Tomato Soup,Tomato Soup Bowl,"File:2019-02-08 00 06 14 Campbell's Condensed Tomato Soup after being poured into a bowl but before being heated in the Franklin Farm section of Oak Hill, Fairfax County, Virginia.jpg","https://commons.wikimedia.org/wiki/File:2019-02-08_00_06_14_Campbell%27s_Condensed_Tomato_Soup_after_being_poured_into_a_bowl_but_before_being_heated_in_the_Franklin_Farm_section_of_Oak_Hill,_Fairfax_County,_Virginia.jpg",CC BY-SA 4.0,Famartin,4032x3024,SUCCESS
Grilled Chicken,Grilled Chicken Plated,File:Grill chicken.jpg,https://commons.wikimedia.org/wiki/File:Grill_chicken.jpg,CC BY 3.0,Anandha abirami Govindan,1032x774,SUCCESS
